alt,Atmo depth,Atmo density
km,g/cm2,g/cm3
0.00E+00,8.9658E+02,1.0212E-03
2.00E+00,6.7465E+02,7.6845E-04
4.00E+00,5.0765E+02,5.7823E-04
6.00E+00,3.8199E+02,4.3510E-04
8.00E+00,2.8743E+02,3.2740E-04
1.00E+01,2.1628E+02,2.4636E-04
1.20E+01,1.6275E+02,1.8537E-04
1.40E+01,1.2246E+02,1.3949E-04
1.60E+01,9.2147E+01,1.0496E-04
1.80E+01,6.9338E+01,7.8978E-05
2.00E+01,5.2174E+01,5.9429E-05
2.20E+01,3.9259E+01,4.4718E-05
2.40E+01,2.9541E+01,3.3649E-05
2.60E+01,2.2229E+01,2.5319E-05
2.80E+01,1.6726E+01,1.9052E-05
3.00E+01,1.2586E+01,1.4336E-05
3.20E+01,9.4706E+00,1.0787E-05
3.40E+01,7.1263E+00,8.1171E-06
3.60E+01,5.3623E+00,6.1078E-06
3.80E+01,4.0349E+00,4.5959E-06
4.00E+01,3.0361E+00,3.4583E-06
4.20E+01,2.2846E+00,2.6022E-06
4.40E+01,1.7191E+00,1.9581E-06
4.60E+01,1.2935E+00,1.4734E-06
4.80E+01,9.7335E-01,1.1087E-06
5.00E+01,7.3241E-01,8.3425E-07
5.20E+01,5.5111E-01,6.2774E-07
5.40E+01,4.1469E-01,4.7235E-07
5.60E+01,3.1204E-01,3.5543E-07
5.80E+01,2.3480E-01,2.6745E-07
6.00E+01,1.7668E-01,2.0125E-07
6.20E+01,1.3295E-01,1.5143E-07
6.40E+01,1.0004E-01,1.1395E-07
6.60E+01,7.5275E-02,8.5741E-08
6.80E+01,5.6642E-02,6.4517E-08
7.00E+01,4.2621E-02,4.8547E-08
7.20E+01,3.2071E-02,3.6530E-08
7.40E+01,2.4132E-02,2.7487E-08
7.60E+01,1.8159E-02,2.0683E-08
7.80E+01,1.3664E-02,1.5564E-08
8.00E+01,1.0281E-02,1.1711E-08
8.20E+01,7.7365E-03,8.8121E-09
8.40E+01,5.8214E-03,6.6308E-09
8.60E+01,4.3804E-03,4.9895E-09
8.80E+01,3.2961E-03,3.7544E-09
9.00E+01,2.4802E-03,2.8251E-09
