Energy (GeV) / Time (year),100,300,1000,3000,10000,30000,100000,300000,1000000,3000000
10,7.72E+03,2.65E+04,2.58E+04,1.23E+04,3.55E+03,9.12E+02,1.79E+02,3.77E+01,6.56E+00,1.30E+00
12,8.33E+03,2.62E+04,2.42E+04,1.13E+04,3.19E+03,8.12E+02,1.59E+02,3.33E+01,5.79E+00,1.15E+00
14.4,8.94E+03,2.58E+04,2.27E+04,1.03E+04,2.87E+03,7.23E+02,1.40E+02,2.95E+01,5.10E+00,1.01E+00
17.3,9.53E+03,2.54E+04,2.12E+04,9.36E+03,2.57E+03,6.44E+02,1.24E+02,2.60E+01,4.50E+00,8.89E-01
20.7,1.01E+04,2.49E+04,1.98E+04,8.53E+03,2.31E+03,5.73E+02,1.10E+02,2.30E+01,3.97E+00,7.83E-01
24.9,1.07E+04,2.43E+04,1.84E+04,7.76E+03,2.07E+03,5.09E+02,9.75E+01,2.03E+01,3.50E+00,6.90E-01
29.9,1.12E+04,2.37E+04,1.71E+04,7.05E+03,1.85E+03,4.53E+02,8.63E+01,1.79E+01,3.09E+00,6.08E-01
35.8,1.17E+04,2.30E+04,1.59E+04,6.40E+03,1.66E+03,4.02E+02,7.64E+01,1.58E+01,2.72E+00,5.36E-01
43,1.21E+04,2.23E+04,1.48E+04,5.80E+03,1.48E+03,3.58E+02,6.76E+01,1.40E+01,2.40E+00,4.72E-01
51.6,1.25E+04,2.15E+04,1.37E+04,5.26E+03,1.33E+03,3.18E+02,5.98E+01,1.23E+01,2.11E+00,4.16E-01
61.9,1.28E+04,2.07E+04,1.26E+04,4.76E+03,1.19E+03,2.82E+02,5.29E+01,1.09E+01,1.86E+00,3.66E-01
74.3,1.31E+04,1.99E+04,1.17E+04,4.31E+03,1.06E+03,2.51E+02,4.68E+01,9.60E+00,1.64E+00,3.23E-01
89.2,1.34E+04,1.90E+04,1.08E+04,3.90E+03,9.46E+02,2.22E+02,4.13E+01,8.48E+00,1.45E+00,2.84E-01
107,1.36E+04,1.82E+04,9.90E+03,3.52E+03,8.45E+02,1.97E+02,3.66E+01,7.48E+00,1.28E+00,2.50E-01
128,1.37E+04,1.73E+04,9.10E+03,3.18E+03,7.54E+02,1.75E+02,3.23E+01,6.60E+00,1.13E+00,2.21E-01
154,1.38E+04,1.65E+04,8.35E+03,2.86E+03,6.72E+02,1.55E+02,2.86E+01,5.82E+00,9.92E-01,1.94E-01
185,1.38E+04,1.56E+04,7.66E+03,2.58E+03,5.99E+02,1.38E+02,2.52E+01,5.14E+00,8.74E-01,1.71E-01
222,1.38E+04,1.48E+04,7.01E+03,2.32E+03,5.34E+02,1.22E+02,2.23E+01,4.53E+00,7.70E-01,1.51E-01
266,1.37E+04,1.39E+04,6.42E+03,2.09E+03,4.76E+02,1.08E+02,1.97E+01,4.00E+00,6.79E-01,1.33E-01
319,1.36E+04,1.31E+04,5.86E+03,1.88E+03,4.24E+02,9.59E+01,1.74E+01,3.53E+00,5.98E-01,1.17E-01
383,1.34E+04,1.24E+04,5.35E+03,1.69E+03,3.77E+02,8.49E+01,1.54E+01,3.11E+00,5.27E-01,1.03E-01
460,1.32E+04,1.16E+04,4.88E+03,1.52E+03,3.36E+02,7.52E+01,1.36E+01,2.74E+00,4.64E-01,9.07E-02
552,1.29E+04,1.09E+04,4.44E+03,1.36E+03,2.99E+02,6.66E+01,1.20E+01,2.42E+00,4.09E-01,7.99E-02
662,1.26E+04,1.02E+04,4.04E+03,1.22E+03,2.66E+02,5.90E+01,1.06E+01,2.13E+00,3.60E-01,7.03E-02
795,1.23E+04,9.47E+03,3.67E+03,1.10E+03,2.36E+02,5.22E+01,9.35E+00,1.88E+00,3.17E-01,6.19E-02
954,1.19E+04,8.82E+03,3.33E+03,9.82E+02,2.10E+02,4.62E+01,8.25E+00,1.66E+00,2.80E-01,5.45E-02
1140,1.15E+04,8.20E+03,3.02E+03,8.79E+02,1.86E+02,4.09E+01,7.29E+00,1.46E+00,2.46E-01,4.80E-02
1370,1.11E+04,7.62E+03,2.74E+03,7.87E+02,1.66E+02,3.62E+01,6.43E+00,1.29E+00,2.17E-01,4.23E-02
1650,1.07E+04,7.06E+03,2.48E+03,7.04E+02,1.47E+02,3.20E+01,5.67E+00,1.14E+00,1.91E-01,3.72E-02
1980,1.03E+04,6.53E+03,2.24E+03,6.29E+02,1.31E+02,2.83E+01,5.01E+00,1.00E+00,1.68E-01,3.28E-02
2370,9.85E+03,6.03E+03,2.03E+03,5.62E+02,1.16E+02,2.50E+01,4.42E+00,8.82E-01,1.48E-01,2.89E-02
2850,9.41E+03,5.56E+03,1.83E+03,5.02E+02,1.03E+02,2.21E+01,3.90E+00,7.77E-01,1.30E-01,2.54E-02
3420,8.96E+03,5.12E+03,1.65E+03,4.48E+02,9.11E+01,1.95E+01,3.44E+00,6.84E-01,1.15E-01,2.23E-02
4100,8.52E+03,4.71E+03,1.49E+03,4.00E+02,8.07E+01,1.73E+01,3.03E+00,6.03E-01,1.01E-01,1.97E-02
4920,8.07E+03,4.33E+03,1.34E+03,3.56E+02,7.15E+01,1.53E+01,2.67E+00,5.31E-01,8.90E-02,1.73E-02
5910,7.63E+03,3.97E+03,1.21E+03,3.18E+02,6.34E+01,1.35E+01,2.35E+00,4.67E-01,7.83E-02,1.52E-02
7090,7.20E+03,3.63E+03,1.08E+03,2.83E+02,5.61E+01,1.19E+01,2.07E+00,4.11E-01,6.89E-02,1.34E-02
8510,6.77E+03,3.32E+03,9.73E+02,2.52E+02,4.97E+01,1.05E+01,1.83E+00,3.62E-01,6.06E-02,1.18E-02
10200,6.36E+03,3.03E+03,8.73E+02,2.24E+02,4.39E+01,9.25E+00,1.61E+00,3.19E-01,5.33E-02,1.03E-02
12200,5.96E+03,2.76E+03,7.83E+02,1.99E+02,3.88E+01,8.16E+00,1.42E+00,2.80E-01,4.68E-02,9.09E-03
14700,5.57E+03,2.52E+03,7.01E+02,1.77E+02,3.43E+01,7.19E+00,1.25E+00,2.46E-01,4.11E-02,7.99E-03
17600,5.19E+03,2.29E+03,6.27E+02,1.57E+02,3.03E+01,6.33E+00,1.10E+00,2.16E-01,3.61E-02,7.01E-03
21200,4.83E+03,2.07E+03,5.60E+02,1.39E+02,2.67E+01,5.57E+00,9.62E-01,1.90E-01,3.17E-02,6.15E-03
25400,4.48E+03,1.88E+03,5.00E+02,1.23E+02,2.36E+01,4.90E+00,8.45E-01,1.67E-01,2.78E-02,5.39E-03
30500,4.14E+03,1.70E+03,4.45E+02,1.09E+02,2.07E+01,4.31E+00,7.41E-01,1.46E-01,2.44E-02,4.72E-03
36600,3.83E+03,1.53E+03,3.96E+02,9.62E+01,1.82E+01,3.78E+00,6.50E-01,1.28E-01,2.13E-02,4.13E-03
43900,3.52E+03,1.38E+03,3.52E+02,8.49E+01,1.60E+01,3.31E+00,5.68E-01,1.12E-01,1.86E-02,3.61E-03
52700,3.23E+03,1.24E+03,3.12E+02,7.47E+01,1.40E+01,2.90E+00,4.97E-01,9.77E-02,1.63E-02,3.15E-03
63200,2.95E+03,1.11E+03,2.76E+02,6.57E+01,1.23E+01,2.53E+00,4.33E-01,8.52E-02,1.42E-02,2.75E-03
75800,2.69E+03,9.92E+02,2.44E+02,5.76E+01,1.07E+01,2.21E+00,3.77E-01,7.41E-02,1.23E-02,2.39E-03
91000,2.44E+03,8.83E+02,2.14E+02,5.03E+01,9.35E+00,1.92E+00,3.27E-01,6.43E-02,1.07E-02,2.07E-03
109000,2.21E+03,7.83E+02,1.88E+02,4.39E+01,8.12E+00,1.66E+00,2.83E-01,5.56E-02,9.25E-03,1.79E-03
131000,1.99E+03,6.92E+02,1.64E+02,3.81E+01,7.02E+00,1.43E+00,2.44E-01,4.79E-02,7.97E-03,1.54E-03
157000,1.78E+03,6.08E+02,1.42E+02,3.29E+01,6.05E+00,1.23E+00,2.10E-01,4.11E-02,6.83E-03,1.32E-03
189000,1.58E+03,5.31E+02,1.23E+02,2.83E+01,5.18E+00,1.05E+00,1.79E-01,3.51E-02,5.83E-03,1.13E-03
226000,1.39E+03,4.60E+02,1.06E+02,2.41E+01,4.41E+00,8.95E-01,1.52E-01,2.98E-02,4.94E-03,9.57E-04
272000,1.22E+03,3.96E+02,8.99E+01,2.04E+01,3.72E+00,7.55E-01,1.28E-01,2.51E-02,4.16E-03,8.05E-04
326000,1.05E+03,3.37E+02,7.59E+01,1.72E+01,3.11E+00,6.31E-01,1.07E-01,2.09E-02,3.47E-03,6.71E-04
